city_name,region,federal,population
Магнитогорск,Челябинская область,Уральский,410 594
Майкоп,Адыгея,Южный,143 385
Майский,Кабардино-Балкария,Северо-Кавказский,26 632
Макаров,Сахалинская область,Дальневосточный,5848
Макарьев,Костромская область,Центральный,5528
Макушино,Курганская область,Уральский,6827
Малая Вишера,Новгородская область,Северо-Западный,9996
Малгобек,Ингушетия,Северо-Кавказский,36 480
Малмыж,Кировская область,Приволжский,6931
Малоархангельск,Орловская область,Центральный,3609
Малоярославец,Калужская область,Центральный,41 836
Мамадыш,Татарстан,Приволжский,15 726
Мамоново,Калининградская область,Северо-Западный,8314
Мантурово,Костромская область,Центральный,13 043
Мариинск,Кемеровская область,Сибирский,40 779
Мариинский Посад,Чувашия,Приволжский,7851
Маркс,Саратовская область,Приволжский,28 749
Махачкала,Дагестан,Северо-Кавказский,623 254
Мглин,Брянская область,Центральный,6919
Мегион,Ханты-Мансийский АО,Уральский,52 887
Медвежьегорск,Карелия,Северо-Западный,11 962
Медногорск,Оренбургская область,Приволжский,23 693
Медынь,Калужская область,Центральный,8200
Межгорье,Башкортостан,Приволжский,15 697
Междуреченск,Кемеровская область,Сибирский,96 174
Мезень,Архангельская область,Северо-Западный,2874
Меленки,Владимирская область,Центральный,13 407
Мелеуз,Башкортостан,Приволжский,56 505
Менделеевск,Татарстан,Приволжский,22 875
Мензелинск,Татарстан,Приволжский,16 008
Мещовск,Калужская область,Центральный,3810
Миасс,Челябинская область,Уральский,147 995
Микунь,Коми,Северо-Западный,8527
Миллерово,Ростовская область,Южный,34 841
Минеральные Воды,Ставропольский край,Северо-Кавказский,70 485
Минусинск,Красноярский край,Сибирский,70 089
Миньяр,Челябинская область,Уральский,8500
Мирный,Якутия,Дальневосточный,34 045
Мирный,Архангельская область,Северо-Западный,27 262
Михайлов,Рязанская область,Центральный,10 303
Михайловка,Волгоградская область,Южный,56 031
Михайловск,Свердловская область,Уральский,9756
Михайловск,Ставропольский край,Северо-Кавказский,114 133
Мичуринск,Тамбовская область,Центральный,90 451
Могоча,Забайкальский край,Дальневосточный,12 390
Можайск,Московская область,Центральный,33 880
Можга,Удмуртия,Приволжский,44 345
Моздок,Северная Осетия,Северо-Кавказский,36 784
Мончегорск,Мурманская область,Северо-Западный,39 962
Морозовск,Ростовская область,Южный,24 258
Моршанск,Тамбовская область,Центральный,39 023
Мосальск,Калужская область,Центральный,4234
Москва,Москва,Центральный,13 010 112 [ 2 ]
Муравленко,Ямало-Ненецкий АО,Уральский,29 233
Мураши,Кировская область,Приволжский,5700
